protein	adipose tissue	adrenal gland	appendix	bone marrow	breast	bronchus	caudate	cerebellum	cerebral cortex	cervix	colon	duodenum	endometrium 1	endometrium 2	epididymis	esophagus	fallopian tube	gallbladder	heart muscle	hippocampus	kidney	liver	lung	lymph node	nasopharynx	oral mucosa	ovary	pancreas	parathyroid gland	placenta	prostate	rectum	salivary gland	seminal vesicle	skeletal muscle	skin 1	skin 2	small intestine	smooth muscle	soft tissue 1	soft tissue 2	spleen	stomach 1	stomach 2	testis	thyroid gland	tonsil	urinary bladder	vagina	nan	hypothalamus	endometrium	hair	retina	lactating breast	skin	thymus	cartilage	eye	pituitary gland	choroid plexus	dorsal raphe	substantia nigra	sole of foot	
TSPAN6	0	0	0	0	0	3	0	0	0	3	0	1	3	3	2	3	3	2	0	0	2	0	0	0	3	2	0	1	2	3	2	2	2	3	0	0	2	2	0	0	0	0	2	2	1	2	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TNMD	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DPM1	2	3	2	2	2	2	2	2	1	2	1	3	2	2	2	2	2	3	3	2	3	2	2	2	2	2	1	3	2	3	2	3	2	2	3	3	2	3	3	2	0	2	3	3	3	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SCYL3	1	0	0	1	2	0	0	1	1	0	2	2	1	1	2	1	2	1	2	1	1	1	2	1	2	1	1	2	2	3	2	2	1	-100	1	2	2	2	2	1	1	1	2	2	1	2	2	3	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
C1orf112	2	2	1	1	2	2	1	1	0	2	2	0	0	0	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	2	2	0	2	0	2	0	2	0	1	1	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
FGR	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CFH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
FUCA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GCLC	2	2	1	2	0	2	1	2	0	1	1	2	2	1	2	1	3	2	1	1	2	2	2	2	2	2	0	1	2	2	1	1	1	2	1	0	1	1	1	1	-100	0	2	1	2	2	2	3	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NFYA	0	2	2	2	2	2	1	0	0	2	2	2	2	2	2	2	2	2	2	1	2	0	2	-100	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	3	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NIPAL3	1	3	1	2	2	3	3	2	3	3	1	3	3	3	3	2	3	3	2	3	3	2	2	2	-100	2	2	3	3	2	3	3	3	2	1	2	3	3	1	2	2	2	2	3	3	3	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
LAS1L	2	3	2	2	2	3	2	2	0	3	2	3	3	3	3	3	3	3	3	2	3	2	3	2	3	3	3	3	2	3	2	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ENPP4	1	3	1	2	0	3	3	2	0	1	2	3	2	2	2	1	2	3	3	3	3	2	3	1	3	1	0	2	3	3	2	2	3	3	1	0	2	3	1	0	1	0	3	3	3	2	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SEMA3F	3	2	0	0	2	2	0	3	0	0	2	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	3	0	1	1	2	1	0	0	2	2	2	0	0	0	0	2	0	2	0	2	1	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CFTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ANKIB1	2	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	3	2	2	2	2	2	2	2	1	2	2	2	3	1	2	1	2	2	2	2	1	2	-100	1	2	3	3	2	2	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CYP51A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
KRIT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
BAD	1	2	1	1	2	3	3	2	2	1	2	2	2	2	2	2	2	2	2	2	3	2	1	1	3	1	0	2	2	3	2	2	2	2	0	1	2	2	0	0	0	1	2	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
LAP3	1	2	2	1	2	2	0	0	0	0	0	2	2	1	2	1	2	2	0	0	3	3	1	1	2	1	1	1	2	0	2	2	2	2	0	0	0	2	0	0	0	0	3	2	0	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CD99	1	2	0	3	0	0	0	0	0	2	0	0	1	0	1	3	1	1	0	0	0	0	1	2	0	0	3	3	0	0	3	0	2	2	0	0	0	0	0	-100	2	1	0	0	3	2	1	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
HS3ST1	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
AOC1	0	0	2	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	3	0	0	1	0	1	0	0	0	2	2	2	0	1	0	1	1	2	0	0	0	0	1	1	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
HECW1	0	2	1	1	2	2	2	2	2	2	2	2	2	2	2	-100	2	2	2	3	2	1	2	2	2	2	2	1	-100	2	2	2	2	2	2	2	1	2	1	2	1	1	2	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MAD1L1	1	2	2	2	2	2	2	3	1	1	2	3	3	2	3	2	3	3	2	2	2	1	2	2	2	2	2	2	2	3	2	2	1	2	2	0	0	3	2	1	1	1	3	3	0	2	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
LASP1	0	0	3	2	0	1	1	1	1	0	1	1	0	2	0	0	0	2	0	1	3	1	3	2	1	0	1	0	1	0	0	2	1	0	0	1	2	0	0	0	0	2	2	3	0	1	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SNX11	0	1	1	0	2	0	1	2	2	0	1	2	1	2	2	1	0	3	1	0	2	0	1	2	0	2	0	0	2	2	2	1	2	2	1	2	0	3	0	2	2	1	2	2	1	1	3	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TMEM176A	3	2	2	1	2	2	0	0	1	2	3	3	2	1	2	0	1	3	2	0	3	3	2	2	2	0	2	1	3	2	1	3	1	2	1	2	0	3	1	0	2	0	2	2	2	2	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
M6PR	3	3	3	3	2	3	3	2	2	2	2	3	3	3	3	2	2	3	3	3	3	3	3	2	2	3	2	2	3	3	3	2	3	3	3	2	2	3	2	2	3	3	3	3	3	3	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
KLHL13	0	0	0	0	1	1	0	0	0	0	0	1	2	2	1	0	1	2	2	0	2	2	0	0	2	0	0	1	0	0	2	1	2	2	1	0	1	1	3	0	0	0	2	1	2	2	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CYP26B1	0	2	1	1	1	-100	2	2	0	0	0	1	0	0	1	0	0	-100	0	0	1	2	0	0	1	0	0	0	0	0	2	1	1	1	0	0	0	1	0	0	0	0	2	1	2	0	1	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ICA1	0	1	0	0	1	1	0	1	1	1	1	1	0	0	0	1	0	1	3	0	1	1	0	0	1	1	0	1	0	1	1	1	1	0	3	0	0	1	3	0	0	0	1	1	0	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DBNDD1	0	1	1	0	1	2	2	-100	2	3	1	3	2	2	2	3	2	2	2	3	2	2	0	1	2	2	0	2	1	2	1	2	1	1	1	2	2	2	1	1	0	1	2	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ALS2	0	2	2	0	1	2	0	3	2	0	2	2	2	1	1	1	2	2	2	1	3	2	2	2	0	2	1	2	2	1	2	2	0	2	1	0	2	2	1	1	-100	2	2	2	3	1	1	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CASP10	0	2	1	2	0	1	1	1	0	0	1	2	1	1	1	0	1	1	1	1	1	0	2	2	1	0	0	0	2	0	1	2	0	2	0	1	1	2	1	0	0	1	2	2	3	1	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
